"","id","GR19-MIT5","IS19-13","IS19-14","domain","major_clade","kingdom","phylum","class","order","family","genus"
"1","NTU1",0,0,2,"Archaea","Archaea domain","Archaea domain","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaeraceae family"
"2","NTU2",0,0,2,"Archaea","Archaea domain","Archaea domain","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae","Methanosarcina"
"3","NTU3",0,0,2,"Archaea","Archaea domain","Archaea domain","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales order","Woesearchaeales order"
"4","NTU4",0,4,0,"Bacteria","Bacteria domain","Bacteria domain","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"5","NTU5",1,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acetothermia","Acetothermiia","Acetothermiia class","Acetothermiia class","Acetothermiia class"
"6","NTU6",2,0,1,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila-Silvibacterium"
"7","NTU7",0,0,1,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila-Silvibacterium"
"8","NTU8",39,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter"
"9","NTU9",18,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter"
"10","NTU10",21,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter"
"11","NTU11",66,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"12","NTU12",8,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"13","NTU13",127,8,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"14","NTU14",12,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"15","NTU15",90,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"16","NTU16",16,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"17","NTU17",10,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"18","NTU18",149,12,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"19","NTU19",872,5,3,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"20","NTU20",20,0,0,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"21","NTU21",1306,71,17,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
"22","NTU22",193,16,4,"Bacteria","Bacteria domain","Bacteria domain","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella"
